#,#,#,#,#,#,#,#
遗产,[以] 露图·莫丹 / 来兹 , 后浪丨北京联合出版公司 , 2017-8 ,8.8,"
        (1140人评价)
    ","2014年法国安古兰年度漫画大奖作品
一部讲述历史与记忆、人类关系固有复杂性的图像小说
关于等待了六十七年的爱情和纠葛一生的因果律
历史可以塑造我们，却不能... "
伊甸园世界01：星之上,[法] 墨比斯 / 叶蔚林 , 后浪丨北京联合出版公司 , 2017-7 ,9.3,"
        (114人评价)
    ","墨比斯晚期风格代表杰作
法漫大师突破幻想的经典
一趟发现自我的太空旅途
一场深入潜意识的潜行
...................
※内容简介※
法漫大师... "
深夜食堂 01,[日] 安倍夜郎 / 陈颖 , 湖南文艺出版社 , 2013-1 ,9.1,"
        (14920人评价)
    ","下班后，总有个地方在等着你……
吃饱了，心暖了，明天请继续加油！
日本、台湾地区、韩国千万读者口碑相传
最温情、治愈的都市美食故事
第55回小学馆漫画奖、第... "
疯狂艺术史：从达芬奇到伦勃朗,[塞尔维亚] 格拉迪米尔·斯穆贾、伊万娜·斯穆贾 / 潘赫 , 后浪丨北京联合出版公司 , 2017-7 ,8.2,"
        (399人评价)
    ","蒙娜丽莎原来是达芬奇的女佣！
丢勒的师父居然是一只兔子！
鲁本斯竟然用哈哈镜把皇后画胖了100公斤！
伦勃朗仅靠一幅画就吓得敌军落荒而逃！
这些秘密，你知道... "
画的秘密,[法] 马克-安托万·马修 / 贾梦 , 北京联合出版公司·后浪出版公司 , 2016-1 ,8.7,"
        (1184人评价)
    ","荣获瑞士谢尔漫画节最佳作品奖
欧洲漫画界最具实验性的概念型奇才、两届安古兰国际漫画节奖项得主马克-安托万·马修情感悬疑之作
堪比卡夫卡的诡异荒诞，兼具大卫·... "
封闭式车库,[法] 墨比斯 编绘 / 朱洁 , 后浪丨北京联合出版公司 , 2017-5 ,8.4,"
        (304人评价)
    ","宫崎骏、费里尼、大友克洋
极力推崇的法国漫画大师墨比斯的经典科幻杰作
一部重塑读者世界观的迷幻巨著
蕴含三个世界、无数次人生的太空哲学
………………
※编辑... "
我在伊朗长大,玛赞·莎塔碧 / 马爱农、左涛 , 生活·读书·新知三联书店 , 2010-1 ,9.4,"
        (4578人评价)
    ",伊朗，一个遥远而神秘的国度。长期以来人们谈起她总是将之与原教旨主义、狂热主义和恐怖主义联系在一起。作者认为事实并非如此。作者出身豪门，以当年伊朗的“伊斯兰革... 
方向,[法] 马克-安托万·马修 / 后浪漫（编译） , 后浪丨北京联合出版公司 , 2017-4 ,8.8,"
        (1055人评价)
    ","欧洲艺术漫画奇才马修全新烧脑神作
图像小说内容和形式上的双重突破
智力与想象力的乐趣背后，是深刻的哲学探讨
...................
※编辑推... "
睡魔1：前奏与夜曲,[美] 尼尔·盖曼（Neil Gaiman）编、山姆·凯斯（Sam Keith） 等绘 / 韩钢 , 北京联合出版公司·后浪出版公司 , 2016-8 ,9.1,"
        (670人评价)
    ","《睡魔》是史上极为畅销和广受好评的漫画作品。它设立了漫画领域中成熟、诗意的幻想的标准。
睡魔，一位身穿黑色风衣、有着星辰般双眼的忧郁男子。他既非神祇，也非魔... "
海贼王,尾田荣一郎 / 董科 , 浙江人民美术出版社 , 2007-11 ,9.5,"
        (26374人评价)
    ",路飞所生长的小村庄里曾经是一群以「红发香克斯」为首的海盗们的暂居地，而幼年路飞一直希望可以成为他们的一员，可在一次意外的情况下，他吃了一种叫做「橡皮果实」的... 
守望者 上,[美] 阿兰·摩尔 / 王周凌 , 世界图书出版公司 , 2014-7-1 ,9.6,"
        (1524人评价)
    ",《守望者》不论在漫画界与主流媒体都备受赞誉，被视为漫画中的经典作品。《守望者》是美国《时代周刊》2005年评选出的“1923年至今百部最佳英文小说”之一，同... 
我可以咬一口吗,[美] 莉兹·克里莫 / 周高逸 , 天津人民出版社 , 2016-4 ,8.8,"
        (7950人评价)
    ",《我可以咬一口吗》是美国漫画家莉兹•克里莫继《你今天真好看》之后的又一本清新暖萌的漫画集，收录了莉兹•克里莫一百多张逗趣漫画。书中集结了所有你能想到的各种萌... 
波丽娜,[法] 巴斯蒂安·维韦斯 / 张鑫佳 , 北京联合出版公司·后浪出版公司 , 2016-7 ,8.9,"
        (791人评价)
    ","在人生的岔路口，面对重重的挫折和迷茫，怀揣最初梦想的我们该如何抉择？
法国2012年度漫画评论大奖作品，带给你关于跳舞、关于成长、关于抉择的心灵触动。
..... "
阿兰的战争,[法]埃曼努埃尔·吉贝尔（Emmanuel Guibert） / 孟蕊 , 北京联合出版公司·后浪出版公司 , 2015-8 ,8.9,"
        (888人评价)
    ","一名普通士兵的“二战心灵史”
一部最纪实最诗意的水墨图卷
《出版人周刊》“明星推荐”作品
荣获七项欧美漫画、图像小说大奖
【编辑推荐】
《阿兰的战争》是法国... "
一日谈,[巴西]法比奥·穆恩(Fábio Moon)、加布里埃尔·巴(Gabriel Bá) / 王怡婧 , 北京联合出版公司·后浪出版公司 , 2016-8 ,9.1,"
        (448人评价)
    ","“魔幻现实主义”图像小说，一场用死亡铭记生命的仪式
...................
※编辑推荐※
作为一部“魔幻现实主义”图像小说，《一日谈》没有将... "
