#,#,#,#,#,#,#,#
极简宇宙史,[法] 克里斯托弗·加尔法德 / 童文煦 , 上海三联书店 , 2016-3 ,9.1,"
        (3514人评价)
    ",我们的存在的确让太阳系与众不同。夏夜，你躺在沙滩上，仰望夜空。一颗小小的流星安静滑过，还来不及许愿，不可思议的事情发生了：你一下子穿越五十亿年，走进时光的旅... 
地理学与生活,[美] 阿瑟·格蒂斯、[美] 朱迪丝·格蒂斯、[美] 杰尔姆·D.费尔曼 / 黄润华、韩慕康、孙颖 , 后浪丨北京联合出版公司 , 2017-4 ,9.0,"
        (617人评价)
    ",地理学是一门古老的学科，最初仅指地球的绘图与勘查，但发展到今天已经逐渐成为一门范围广泛的学科。本书共十三章，分四篇，囊括自然地理学、人口地理学、文化地理学、... 
哥德尔、艾舍尔、巴赫,[美] 侯世达 / 严勇、刘皓明、莫大伟 , 商务印书馆 , 1997-5 ,9.4,"
        (4536人评价)
    ",集异璧－GEB，是数学家哥德尔、版画家艾舍尔、音乐家巴赫三个名字的前缀。《哥德尔、艾舍尔、巴赫书：集异璧之大成》是在英语世界中有极高评价的科普著作，曾获得普... 
地球之美,[法] 帕特里克·德韦弗  文、[法] 让·弗朗索瓦·布翁克里斯蒂亚尼 图 / 秦淑娟、张琦 , 新星出版社 , 2017-6 ,9.2,"
        (419人评价)
    ","★一部看得见的地球简史！
★200个改写地球命运的时刻，呈现46亿年漫长的地球史！
★法国国家自然历史博物馆、法国地质学会、法国国家地质遗产、联合国教科文组... "
人类简史,[以色列]尤瓦尔·赫拉利 / 林俊宏 , 中信出版社 , 2014-11-1 ,9.1,"
        (43223人评价)
    ","十万年前，地球上至少有六种不同的人
但今日，世界舞台为什么只剩下了我们自己？
从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人，
从雪维洞穴壁上的原始... "
时间简史,[英] 史蒂芬·霍金 / 许明贤、吴忠超 , 湖南科学技术出版社 , 2010-4 ,8.8,"
        (21940人评价)
    ",《时间简史》讲述是探索时间和空间核心秘密的故事，是关于宇宙本性的最前沿知识，包括我们的宇宙图像、空间和时间、膨胀的宇宙不确定性原理、基本粒子和自然的力、黑洞... 
花朵的秘密生命,萝赛 / 钟友珊 , 广西师范大学出版社 , 2004-1 ,8.1,"
        (324人评价)
    ",本书综合了植物学和科学史，以优美的文笔生动地描述了花朵在诱人吸引力的背后如何演化、存活、治疗；如何以形状、颜色与气味虚张声势，挑逗那些传粉的拜访者；如何选择... 
上帝掷骰子吗,曹天元 , 辽宁教育出版社 , 2006-1 ,9.2,"
        (13938人评价)
    ",《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... 
地图（人文版）,(波兰)亚历山德拉·米热林斯卡、丹尼尔·米热林斯基 著 , 贵州人民出版社 , 2014-8-1 ,9.1,"
        (1180人评价)
    ","★世界各国广泛引进：美国、英国、法国、比利时、荷兰、德国、俄罗斯、意大利、挪威、立陶宛、芬兰、冰岛、日本、乌克兰、韩国、澳大利亚等。
★荣获多国重要奖项。如... "
从一到无穷大,[美] G. 伽莫夫 / 暴永宁 译、吴伯泽 校 , 科学出版社 , 2002-11 ,9.1,"
        (6319人评价)
    ",《从一到无穷大：科学中的事实和臆测》是当今世界最有影响的科普经典名著之一，1970年代末由科学出版社引进出版后，曾在国内引起很大反响，直接影响了众多的科普工... 
